M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,164.4487,0.401346,0.4393,0.1039
7.25,106.89634,0.086953104,0.4095,0.364
7.5,68.86976,0.07181692,0.14075,0.040953
7.75,43.51691,0.09294749,0.1436,0.1177
8.0,27.30397,0.06921076,0.07762,0.07122
8.25,16.63525,0.02474889,0.08228,0.09002
8.5,9.94725,0.0211862,0.014503,0.0033295
8.75,5.89324,0.0149692,0.01332,0.01331
9.0,3.38344,0.0106888,0.003979,0.001053
9.25,1.896896,0.003931288,0.0020066,0.00056011
9.5,1.032634,0.001730982,0.0011457,0.00016941
9.75,0.544754,0.00177189,0.0008606,0.0009524
